epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,5449.38,0.86158,0.39424,0.8338,0.99869,0.99726,0.99499,0.81944,0.73605,0.34607,0.82787,0.0002279,0.0002279,0.0002279
181,5491.92,0.91687,0.41387,0.84235,0.99869,0.99598,0.995,0.81385,0.74256,0.34997,0.8284,0.000218,0.000218,0.000218
182,5534.48,0.90468,0.43597,0.84004,0.99762,0.99477,0.995,0.81153,0.74657,0.35198,0.82844,0.0002081,0.0002081,0.0002081
183,5572.55,0.86695,0.40381,0.83636,0.99849,0.99608,0.995,0.81751,0.73348,0.34754,0.82764,0.0001982,0.0001982,0.0001982
184,5613.95,0.90935,0.40892,0.84191,0.99845,0.99608,0.995,0.81875,0.72946,0.34451,0.82702,0.0001883,0.0001883,0.0001883
185,5659,0.94312,0.41305,0.83798,0.99848,0.99608,0.995,0.8169,0.73097,0.34407,0.82674,0.0001784,0.0001784,0.0001784
186,5699.32,0.9417,0.41361,0.85076,0.99847,0.99608,0.995,0.81625,0.72983,0.34379,0.82664,0.0001685,0.0001685,0.0001685
187,5741.12,0.87033,0.39639,0.83474,0.99846,0.99608,0.995,0.8109,0.74083,0.34807,0.82947,0.0001586,0.0001586,0.0001586
188,5786.19,0.85341,0.39103,0.8351,0.99842,0.99608,0.995,0.80854,0.74959,0.35071,0.83067,0.0001487,0.0001487,0.0001487
189,5831.28,0.90243,0.40729,0.83099,0.99843,0.99608,0.995,0.81035,0.74601,0.34802,0.82857,0.0001388,0.0001388,0.0001388
190,5872.08,0.83932,0.38712,0.82918,1,0.99594,0.995,0.81158,0.74002,0.34485,0.82726,0.0001289,0.0001289,0.0001289
191,5908.26,0.8066,0.38265,0.83412,0.99834,0.99608,0.995,0.81178,0.73564,0.34206,0.82692,0.000119,0.000119,0.000119
192,5944.62,0.8772,0.41483,0.86176,0.9971,0.99608,0.995,0.8137,0.7294,0.34025,0.82684,0.0001091,0.0001091,0.0001091
193,5983.25,0.85523,0.38442,0.83707,0.9972,0.99739,0.99499,0.81307,0.72887,0.34079,0.82698,9.92e-05,9.92e-05,9.92e-05
194,6021.82,0.89874,0.42612,0.84855,0.99851,0.99739,0.99499,0.81393,0.73152,0.34199,0.82728,8.93e-05,8.93e-05,8.93e-05
195,6059.24,0.84925,0.38636,0.83604,0.99853,0.99739,0.99499,0.80855,0.746,0.34733,0.82953,7.94e-05,7.94e-05,7.94e-05
196,6095.7,0.84494,0.39308,0.83838,0.99855,0.99739,0.99499,0.80755,0.74757,0.34798,0.82975,6.95e-05,6.95e-05,6.95e-05
197,6132.71,0.86981,0.39627,0.83816,0.99727,0.99739,0.99499,0.81025,0.74114,0.34699,0.82838,5.96e-05,5.96e-05,5.96e-05
198,6168.72,0.85903,0.39119,0.84249,0.99859,0.99869,0.99499,0.81177,0.73582,0.34555,0.82744,4.97e-05,4.97e-05,4.97e-05
199,6206.44,0.86838,0.40103,0.84099,0.99857,0.99869,0.995,0.81274,0.728,0.34409,0.82608,3.98e-05,3.98e-05,3.98e-05
200,6244.89,0.8272,0.38065,0.83473,0.99855,0.99869,0.995,0.81311,0.72621,0.3431,0.8259,2.99e-05,2.99e-05,2.99e-05
